iter	Passed	Remaining
0	151	150964
1	164	82033
2	177	59104
3	190	47494
4	203	40415
5	215	35767
6	228	32393
7	241	29941
8	260	28629
9	276	27358
10	292	26333
11	312	25759
12	333	25349
13	349	24585
14	371	24363
15	389	23935
16	408	23599
17	434	23730
18	456	23549
19	471	23089
20	486	22672
21	500	22262
22	516	21960
23	531	21615
24	544	21247
25	559	20953
26	575	20736
27	589	20447
28	602	20169
29	617	19956
30	631	19724
31	648	19616
32	663	19434
33	677	19257
34	690	19028
35	708	18974
36	722	18805
37	737	18678
38	761	18766
39	780	18730
40	792	18539
41	804	18350
42	817	18194
43	828	18006
44	842	17879
45	855	17741
46	875	17745
47	887	17597
48	914	17741
49	932	17726
50	947	17628
51	962	17552
52	975	17436
53	991	17376
54	1011	17386
55	1028	17334
56	1044	17285
57	1064	17292
58	1074	17137
59	1084	16992
60	1094	16845
61	1102	16675
62	1114	16570
63	1123	16431
64	1129	16253
65	1139	16130
66	1146	15959
67	1154	15820
68	1159	15645
69	1169	15537
70	1174	15367
71	1179	15202
72	1187	15079
73	1193	14935
74	1200	14808
75	1207	14675
76	1214	14552
77	1223	14458
78	1231	14352
79	1236	14219
80	1241	14083
81	1250	13998
82	1255	13872
83	1263	13777
84	1269	13661
85	1277	13572
86	1282	13460
87	1287	13347
88	1294	13248
89	1299	13138
90	1308	13065
91	1313	12962
92	1320	12882
93	1326	12785
94	1331	12688
95	1350	12719
96	1355	12622
97	1361	12528
98	1369	12461
99	1375	12377
100	1382	12306
101	1387	12219
102	1393	12133
103	1400	12068
104	1406	11990
105	1414	11932
106	1421	11866
107	1428	11800
108	1437	11750
109	1448	11720
110	1458	11684
111	1466	11625
112	1476	11592
113	1482	11522
114	1491	11480
115	1497	11413
116	1506	11371
117	1512	11303
118	1519	11250
119	1524	11182
120	1529	11111
121	1538	11069
122	1543	11004
123	1550	10950
124	1556	10893
125	1564	10851
126	1569	10788
127	1574	10728
128	1582	10683
129	1588	10629
130	1596	10589
131	1602	10534
132	1611	10502
133	1617	10454
134	1623	10402
135	1629	10349
136	1634	10295
137	1643	10264
138	1648	10213
139	1654	10165
140	1661	10121
141	1666	10068
142	1677	10052
143	1682	9999
144	1690	9965
145	1695	9916
146	1703	9882
147	1708	9833
148	1712	9783
149	1721	9754
150	1726	9709
151	1734	9676
152	1740	9632
153	1746	9592
154	1752	9552
155	1757	9507
156	1765	9477
157	1770	9434
158	1775	9391
159	1782	9358
160	1787	9314
161	1794	9284
162	1800	9244
163	1806	9206
164	1811	9168
165	1815	9122
166	1821	9084
167	1829	9058
168	1835	9026
169	1842	8993
170	1848	8962
171	1856	8935
172	1863	8906
173	1871	8882
174	1875	8842
175	1879	8800
176	1887	8777
177	1894	8748
178	1902	8725
179	1909	8697
180	1918	8679
181	1923	8646
182	1932	8629
183	1941	8610
184	1949	8586
185	1955	8557
186	1962	8532
187	1969	8507
188	1978	8488
189	1984	8460
190	1992	8439
191	1998	8410
192	2007	8392
193	2012	8362
194	2017	8329
195	2027	8315
196	2032	8284
197	2044	8282
198	2052	8262
199	2059	8237
200	2101	8353
201	2110	8339
202	2117	8315
203	2127	8299
204	2135	8282
205	2141	8254
206	2147	8226
207	2153	8199
208	2159	8171
209	2167	8153
210	2173	8125
211	2180	8104
212	2185	8075
213	2190	8045
214	2197	8022
215	2202	7994
216	2207	7967
217	2214	7943
218	2220	7918
219	2228	7902
220	2234	7878
221	2242	7857
222	2247	7832
223	2252	7803
224	2259	7783
225	2266	7763
226	2274	7746
227	2281	7724
228	2287	7701
229	2293	7676
230	2297	7649
231	2306	7635
232	2312	7611
233	2321	7600
234	2327	7576
235	2335	7562
236	2341	7539
237	2346	7513
238	2353	7493
239	2358	7470
240	2367	7454
241	2373	7435
242	2381	7418
243	2386	7394
244	2391	7369
245	2399	7355
246	2405	7334
247	2415	7323
248	2421	7302
249	2429	7288
250	2435	7268
251	2442	7250
252	2447	7227
253	2454	7208
254	2468	7212
255	2477	7198
256	2482	7178
257	2491	7166
258	2498	7148
259	2506	7134
260	2512	7114
261	2520	7100
262	2526	7080
263	2532	7060
264	2540	7047
265	2545	7025
266	2554	7011
267	2559	6991
268	2568	6979
269	2574	6960
270	2583	6949
271	2589	6929
272	2596	6914
273	2602	6896
274	2609	6878
275	2616	6862
276	2622	6844
277	2629	6828
278	2635	6810
279	2643	6798
280	2653	6789
281	2662	6779
282	2678	6785
283	2686	6772
284	2692	6755
285	2701	6744
286	2707	6726
287	2718	6721
288	2725	6705
289	2736	6698
290	2742	6680
291	2752	6672
292	2757	6653
293	2766	6643
294	2771	6624
295	2782	6617
296	2787	6598
297	2795	6584
298	2800	6565
299	2807	6550
300	2815	6537
301	2821	6521
302	2830	6511
303	2841	6505
304	2848	6491
305	2860	6486
306	2865	6468
307	2875	6459
308	2880	6441
309	2889	6430
310	2894	6412
311	2901	6397
312	2908	6382
313	2912	6363
314	2921	6352
315	2926	6335
316	2938	6331
317	2943	6313
318	2952	6303
319	2958	6286
320	2966	6275
321	2972	6258
322	2981	6249
323	2987	6232
324	2997	6226
325	3003	6209
326	3009	6194
327	3015	6177
328	3025	6171
329	3063	6219
330	3068	6202
331	3076	6191
332	3082	6174
333	3091	6163
334	3097	6148
335	3102	6131
336	3108	6114
337	3113	6098
338	3121	6087
339	3127	6070
340	3132	6053
341	3140	6041
342	3145	6024
343	3154	6016
344	3160	5999
345	3168	5989
346	3174	5972
347	3181	5959
348	3187	5945
349	3192	5928
350	3200	5917
351	3206	5902
352	3216	5894
353	3221	5878
354	3231	5870
355	3275	5925
356	3281	5910
357	3291	5902
358	3312	5915
359	3316	5895
360	3323	5882
361	3327	5864
362	3332	5848
363	3340	5835
364	3345	5820
365	3354	5810
366	3359	5794
367	3367	5783
368	3373	5768
369	3379	5753
370	3385	5740
371	3391	5724
372	3400	5715
373	3405	5699
374	3413	5689
375	3418	5673
376	3423	5657
377	3432	5648
378	3438	5633
379	3446	5623
380	3453	5610
381	3461	5599
382	3466	5584
383	3472	5570
384	3478	5556
385	3484	5541
386	3491	5530
387	3496	5515
