iter	Passed	Remaining
0	3	3985
1	14	7302
2	19	6370
3	31	7928
4	40	7973
5	49	8227
6	60	8559
7	65	8084
8	76	8428
9	81	8058
10	92	8334
11	97	7988
12	107	8157
13	112	7900
14	122	8068
15	127	7834
16	138	8007
17	143	7847
18	155	8021
19	159	7836
20	172	8021
21	180	8040
22	190	8104
23	201	8182
24	205	8026
25	216	8113
26	221	7964
27	231	8036
28	236	7922
29	247	8001
30	252	7885
31	263	7970
32	268	7863
33	279	7936
34	283	7818
35	294	7876
36	298	7772
37	305	7731
38	312	7705
39	317	7613
40	326	7637
41	330	7546
42	341	7605
43	346	7537
44	357	7587
45	361	7502
46	372	7544
47	376	7469
48	388	7540
49	393	7482
50	404	7529
51	409	7458
52	420	7508
53	425	7453
54	436	7504
55	441	7447
56	451	7474
57	458	7439
58	467	7448
59	472	7408
60	485	7473
61	493	7465
62	523	7785
63	540	7906
64	548	7890
65	560	7934
66	570	7947
67	578	7928
68	590	7968
69	596	7931
70	608	7965
71	618	7976
72	624	7930
73	636	7961
74	641	7911
75	652	7933
76	657	7884
77	668	7907
78	674	7861
79	684	7873
80	690	7829
81	700	7843
82	705	7799
83	716	7818
84	721	7769
85	732	7785
86	737	7742
87	748	7762
88	753	7716
89	765	7737
90	772	7712
91	782	7723
92	795	7756
93	802	7732
94	812	7737
95	823	7753
96	828	7716
97	841	7744
98	846	7699
99	856	7707
100	865	7705
101	871	7675
102	885	7708
103	892	7689
104	904	7713
105	916	7726
106	929	7760
107	941	7778
108	948	7750
109	962	7785
110	971	7779
111	984	7806
112	993	7796
113	1002	7793
114	1015	7817
115	1022	7789
116	1030	7773
117	1034	7731
118	1045	7740
119	1056	7747
120	1061	7708
121	1073	7723
122	1078	7693
123	1090	7702
124	1094	7662
125	1105	7670
126	1110	7631
127	1121	7640
128	1126	7602
129	1138	7617
130	1143	7582
131	1154	7592
132	1158	7554
133	1169	7560
134	1174	7527
135	1186	7536
136	1190	7501
137	1202	7509
138	1206	7475
139	1218	7486
140	1223	7451
141	1233	7450
142	1240	7431
143	1267	7531
144	1286	7583
145	1305	7638
146	1321	7670
147	1328	7648
148	1339	7647
149	1344	7616
150	1352	7603
151	1356	7570
152	1361	7537
153	1371	7532
154	1377	7509
155	1385	7495
156	1390	7465
157	1418	7559
158	1440	7621
159	1454	7635
160	1463	7628
161	1475	7633
162	1480	7600
163	1490	7598
164	1495	7567
165	1504	7559
166	1510	7534
167	1520	7530
168	1525	7500
169	1532	7481
170	1539	7463
171	1545	7439
172	1553	7425
173	1557	7393
174	1567	7390
175	1573	7367
176	1581	7353
177	1586	7324
178	1595	7319
179	1600	7290
180	1611	7290
181	1615	7262
182	1627	7265
183	1631	7237
184	1643	7240
185	1648	7212
186	1659	7214
187	1664	7190
188	1674	7183
189	1678	7154
190	1689	7155
191	1693	7128
192	1704	7127
193	1709	7100
194	1720	7101
195	1724	7073
196	1734	7071
197	1739	7044
198	1745	7027
199	1753	7012
200	1758	6990
201	1767	6980
202	1771	6955
203	1781	6950
204	1786	6927
205	1795	6921
206	1800	6897
207	1811	6896
208	1815	6870
209	1826	6870
210	1830	6846
211	1841	6845
212	1846	6821
213	1856	6817
214	1861	6796
215	1869	6784
216	1875	6767
217	1888	6772
218	1892	6750
219	1906	6757
220	1911	6737
221	1921	6734
222	1934	6741
223	1940	6724
224	1949	6714
225	1956	6700
226	1964	6690
227	1977	6697
228	1983	6677
229	1995	6681
230	2005	6674
231	2012	6663
232	2025	6669
233	2032	6655
234	2056	6694
235	2060	6671
236	2072	6671
237	2078	6654
238	2087	6646
239	2097	6640
240	2102	6621
241	2115	6626
242	2120	6606
243	2130	6601
244	2135	6580
245	2145	6574
246	2149	6552
247	2161	6553
248	2165	6531
249	2176	6529
250	2181	6508
251	2191	6506
252	2196	6485
253	2207	6483
254	2211	6461
255	2222	6457
256	2226	6436
257	2235	6427
258	2239	6408
259	2248	6399
260	2254	6384
261	2260	6366
262	2267	6355
263	2272	6334
264	2283	6333
265	2287	6312
266	2298	6310
267	2303	6290
268	2313	6287
269	2318	6267
270	2328	6264
271	2332	6244
272	2339	6229
273	2346	6218
274	2351	6198
275	2361	6195
276	2366	6176
277	2377	6174
278	2381	6155
279	2392	6152
280	2397	6134
281	2408	6132
282	2413	6114
283	2424	6113
284	2429	6094
285	2440	6092
286	2444	6073
287	2455	6069
288	2459	6051
289	2470	6048
290	2475	6031
291	2485	6027
292	2492	6013
293	2503	6011
294	2508	5994
295	2519	5991
296	2523	5974
297	2535	5972
298	2539	5954
299	2550	5951
300	2555	5933
301	2563	5925
302	2568	5908
303	2574	5893
304	2582	5883
305	2587	5867
306	2596	5861
307	2601	5845
308	2610	5837
309	2614	5819
310	2626	5819
311	2631	5803
312	2640	5796
313	2644	5778
314	2655	5775
315	2660	5758
316	2671	5756
317	2676	5739
318	2687	5737
319	2692	5722
320	2703	5718
321	2708	5703
322	2721	5703
323	2730	5696
324	2740	5691
325	2751	5689
326	2762	5686
327	2768	5672
328	2781	5672
329	2788	5661
330	2798	5656
331	2812	5658
332	2823	5655
333	2833	5649
334	2843	5644
335	2855	5643
336	2862	5632
337	2872	5625
338	2883	5622
339	2904	5637
340	2917	5637
341	2924	5627
342	2935	5623
343	2946	5618
344	2950	5601
345	2961	5597
346	2966	5581
347	2976	5575
348	2981	5560
349	2989	5552
350	2994	5537
351	3001	5525
352	3024	5542
353	3028	5526
354	3040	5525
355	3045	5509
356	3076	5541
357	3089	5539
358	3102	5540
359	3113	5535
360	3123	5529
361	3136	5527
362	3149	5527
363	3160	5522
364	3171	5516
365	3184	5517
366	3198	5516
367	3208	5510
368	3218	5503
369	3230	5501
370	3241	5495
371	3247	5482
372	3293	5535
373	3302	5528
374	3309	5515
375	3323	5515
376	3331	5505
377	3338	5492
378	3343	5478
379	3350	5467
380	3355	5451
381	3365	5444
382	3369	5428
383	3378	5419
384	3384	5406
385	3389	5391
386	3398	5382
387	3402	5367
388	3411	5358
389	3416	5343
390	3428	5339
391	3432	5324
392	3444	5320
393	3448	5304
394	3458	5297
395	3463	5282
396	3473	5275
397	3478	5260
398	3486	5251
399	3493	5240
400	3503	5232
401	3507	5218
402	3513	5204
403	3541	5225
404	3560	5231
405	3578	5235
406	3595	5239
407	3609	5237
408	3617	5227
409	3625	5216
410	3631	5204
411	3642	5199
412	3647	5184
413	3660	5180
414	3665	5167
415	3677	5162
416	3683	5149
417	3693	5143
418	3705	5138
419	3711	5125
420	3723	5121
421	3733	5113
422	3742	5104
423	3755	5102
424	3767	5097
425	3779	5092
426	3787	5082
427	3799	5078
428	3806	5066
429	3816	5059
430	3827	5052
431	3832	5038
432	3842	5030
433	3846	5016
434	3852	5003
435	3859	4992
436	3863	4977
437	3874	4971
438	3879	4957
439	3889	4950
440	3894	4936
441	3904	4929
442	3909	4915
443	3918	4906
444	3923	4893
445	3929	4881
446	3936	4870
447	3941	4856
448	3952	4850
449	3956	4836
450	3967	4829
451	3971	4815
452	3981	4808
453	3986	4794
454	3994	4785
455	4000	4772
456	4008	4762
457	4013	4750
458	4018	4736
459	4049	4753
460	4066	4755
461	4087	4759
462	4103	4759
463	4110	4747
464	4120	4741
465	4125	4727
466	4135	4720
467	4140	4706
468	4151	4699
469	4155	4686
470	4166	4679
471	4171	4665
472	4177	4654
473	4184	4643
474	4189	4630
475	4198	4621
476	4203	4608
477	4212	4600
478	4217	4587
479	4225	4578
480	4232	4566
481	4239	4556
482	4244	4543
483	4255	4537
484	4260	4523
485	4270	4516
486	4274	4502
487	4285	4496
488	4290	4483
489	4300	4475
490	4304	4462
491	4314	4454
492	4319	4441
493	4325	4430
